"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
43739,"EBLU","heliport","Lummen heliport",50.991943359375,5.238889217376709,141,"EU","BE","BE-VLI","Lummen","no","EBLU",,,,,
29040,"EBLZ","heliport","Zaffelare heliport",51.13111114501953,3.865556001663208,26,"EU","BE","BE-VOV","Lochristi","no","EBLZ",,,,,
43729,"EBMA","heliport","Westmalle heliport",51.28722381591797,4.71416711807251,88,"EU","BE","BE-VAN","Malle","no","EBMA",,,,,
308575,"EBMB","small_airport","Melsbroek Air Base",50.913,4.49,98,"EU","BE","BE-BRU","15th Air Transport Wing","no","EBMB",,,"http://www.opendoor15w.be/","https://en.wikipedia.org/wiki/Melsbroek_Air_Base","Steenokkerzeel"
43720,"EBMD","heliport","AZ Middelheim heliport",51.17416763305664,4.4219441413879395,46,"EU","BE","BE-VAN","Antwerpen","no","EBMD",,,,,
43731,"EBME","heliport","Meerbeek heliport",50.873756,4.596889,214,"EU","BE","BE-VBR","Meerbeek","no","EBME",,,,,
30974,"EBMG","small_airport","Matagne-la-Petite Airport",50.104698181152344,4.638060092926025,787,"EU","BE","BE-WNA","Doische","no","EBMG",,,,,
30975,"EBML","small_airport","Maillen Ulmodrome",50.3741989136,4.92778015137,886,"EU","BE","BE-WNA","Assesse","no","EBML",,,,,
29042,"EBMO","small_airport","Moorsele Airport",50.85279846191406,3.1473100185394287,66,"EU","BE","BE-VWV","Moorsele","no","EBMO",,,,,
43754,"EBMS","heliport","Bra heliport",50.321624755859375,5.731153964996338,1230,"EU","BE","BE-WLG","Lierneu","no","EBMS",,,,,
43751,"EBMT","heliport","Montigny-Le-Tilleul heliport",50.358604431152344,4.368843078613281,656,"EU","BE","BE-WHT","Montigny-Le-Tilleul","no","EBMT",,,,,
43741,"EBNE","small_airport","Neerpelt Airport",51.211944580078125,5.478610992431641,148,"EU","BE","BE-VLI","Neerpelt","no","EBNE",,,,,
43746,"EBNH","heliport","Oostende heliport",51.19444274902344,2.854722023010254,13,"EU","BE","BE-VWV","Oostende","no","EBNH",,,,,
29043,"EBNM","small_airport","Suarlée Airport",50.4879989624,4.76891994476,594,"EU","BE","BE-WNA","Namur","no","EBNM","QNM",,"http://www.aerodromedenamur.be/","http://en.wikipedia.org/wiki/Namur-Suarlee_Airport",
29044,"EBNO","closed","Outer ULM",50.854400634799994,3.98528003693,151,"EU","BE","BE-VOV","Ninove","no","EBNO",,,,,
29045,"EBOO","heliport","Oostdijckbank platform heliport",51.274444580078125,2.447499990463257,69,"EU","BE","BE-VWV","Oostdijckbank","no","EBOO",,,,,
30977,"EBOR","small_airport","Orchimont Ulmodrome",49.9071998596,4.9363899231,1312,"EU","BE","BE-WNA","Vresse-Sur-Semois","no","EBOR",,,,,
2163,"EBOS","medium_airport","Ostend-Bruges International Airport",51.198898315399994,2.8622200489,13,"EU","BE","BE-VWV","Ostend","yes","EBOS","OST",,"http://www.ost.aero/","http://en.wikipedia.org/wiki/Ostend-Bruges_International_Airport",
311995,"EBOT","closed","Oud-Turnhout",51.323558854,5.01796245575,,"EU","BE","BE-VAN",,"no","EBOT",,,,,
29046,"EBPW","heliport","Warcoing heliport",50.726112365722656,3.3324999809265137,120,"EU","BE","BE-WHT","Pecq","no","EBPW",,,,,
43745,"EBRB","heliport","Beveren heliport",50.981666564941406,3.125833034515381,84,"EU","BE","BE-VWV","Roeselare","no","EBRB",,,,,
43728,"EBRO","heliport","Van Den Bosch heliport",51.209720611572266,4.587500095367432,33,"EU","BE","BE-VAN","Ranst","no","EBRO",,,,,
43742,"EBRR","heliport","Rumbeke heliport",50.90972137451172,5.348888874053955,79,"EU","BE","BE-VLI","Roeselare","no","EBRR",,,,,
29047,"EBSG","small_airport","Saint-Ghislain Airport",50.45750045776367,3.820280075073242,75,"EU","BE","BE-WHT","Saint Ghislain","no","EBSG",,,,,
29048,"EBSH","small_airport","St Hubert Airport",50.035900116,5.40425014496,1930,"EU","BE","BE-WLX","Saint Hubert","no","EBSH",,,"http://www.sainthubert-airport.com/",,
29049,"EBSJ","heliport","Az Sint-Jan Heliport",51.2205063161,3.1960934400600003,20,"EU","BE","BE-VWV","Bruges","no","EBSJ",,,,,
2164,"EBSL","small_airport","Zutendaal Air Base",50.9474983215332,5.590559959411621,312,"EU","BE","BE-VLI","Zutendaal","no","EBSL",,,,,
43758,"EBSN","heliport","'S Gravenvoeren heliport",50.7647705078125,5.7868452072143555,394,"EU","BE","BE-WLG","'S Gravenvoeren","no","EBSN",,,,,
29050,"EBSP","small_airport","Spa (la Sauvenière) Airport",50.48249816894531,5.910299777984619,1581,"EU","BE","BE-WLG","Spa","no","EBSP",,,,,
29051,"EBSS","heliport","Sint-Lucas heliport",51.185001373291016,3.2511110305786133,16,"EU","BE","BE-VWV","Brugge","no","EBSS",,,,,
2165,"EBST","small_airport","Limburg Regional Airport",50.791900634799994,5.20167016983,246,"EU","BE","BE-VLI","Sint Truiden","no","EBST",,,"http://www.ebst.aero/","http://en.wikipedia.org/wiki/Sint-Truiden_Air_Base","Brustem Air Base"
2166,"EBSU","small_airport","Saint Hubert Air Base",50.034400939941406,5.440810203552246,1930,"EU","BE","BE-WLX","Saint Hubert","no","EBSU",,,,,
43733,"EBSW","heliport","Sint-Pieters-Leeuw heliport",50.76403045654297,4.219226837158203,197,"EU","BE","BE-VBR","Sint-Pieters-Leeuw","no","EBSW",,,,,
43744,"EBTE","heliport","Temse heliport",51.141666412353516,4.1972222328186035,30,"EU","BE","BE-VOV","Temse","no","EBTE",,,,,
43722,"EBTK","heliport","Kasterlee heliport",51.288333892822266,4.9030561447143555,80,"EU","BE","BE-VAN","Tielen","no","EBTK",,,,,
29899,"EBTN","small_airport","Goetsenhoven Air Base",50.781700134277344,4.957779884338379,246,"EU","BE","BE-VBR","Tienen","no","EBTN",,,,,
43752,"EBTR","heliport","Trazegnies heliport",50.47666549682617,4.355556011199951,574,"EU","BE","BE-WHT","Trazegnies","no","EBTR",,,,,
29052,"EBTX","small_airport","Theux (Verviers) Airport",50.5526008606,5.855030059810001,1099,"EU","BE","BE-WLG","Verviers","no","EBTX",,,"http://www.verviers-aviation.be/","http://en.wikipedia.org/wiki/Verviers-Theux_Airfield",
29053,"EBTY","small_airport","Tournai/Maubray Airport",50.529701232899995,3.4945499897,161,"EU","BE","BE-WHT","Tournai","no","EBTY","ZGQ",,,"http://en.wikipedia.org/wiki/Maubray_Airport","Oostende-Brugge, Tournay"
43719,"EBUB","heliport","ULB heliport",50.81305694580078,4.261388778686523,108,"EU","BE","BE-BRU","Brussels","no","EBUB",,,,,
43718,"EBUC","heliport","UCL heliport",50.85318374633789,4.453608989715576,230,"EU","BE","BE-BRU","Brussels","no","EBUC",,,,,
2167,"EBUL","small_airport","Ursel Air Base",51.14419937133789,3.475559949874878,95,"EU","BE","BE-VOV","Ursel","no","EBUL",,,,,
29054,"EBVE","heliport","Veurne heliport",51.022220611572266,2.680000066757202,82,"EU","BE","BE-VWV","Veurne","no","EBVE",,,,,"Liège-Bierset"
29055,"EBVS","heliport","Sint-Augustinus heliport",51.06277847290039,2.670833110809326,13,"EU","BE","BE-VWV","Veurne","no","EBVS",,,,,
43732,"EBVU","heliport","Rotselaar heliport",50.93916702270508,4.730556011199951,30,"EU","BE","BE-VBR","Rotselaar","no","EBVU",,,,,
2168,"EBWE","small_airport","Weelde Air Base",51.394798278808594,4.9601898193359375,105,"EU","BE","BE-VAN","Weelde","no","EBWE",,,,,
